"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"-1" "Do not know" "-1" "Do not know"
"-3" "Prefer not to answer" "-3" "Prefer not to answer"
"1" "Full cream" "1" "Full cream"
"2" "Semi-skimmed" "2" "Semi-skimmed"
"3" "Skimmed" "3" "Skimmed"
"4" "Soya" "4" "Soya"
"5" "Other type of milk" "5" "Other type of milk"
"6" "Never/rarely have milk" "6" "Never/rarely have milk"
