"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"0" "None" "0" "None"
"10" "Under 10 minutes" "10" "Under 10 minutes"
"1030" "10-30 minutes" "1030" "10-30 minutes"
"12" "1-2 hours" "12" "1-2 hours"
"24" "2-4 hours" "24" "2-4 hours"
"3060" "30-60 minutes" "3060" "30-60 minutes"
"46" "4-6 hours" "46" "4-6 hours"
"600" "6+ hours" "600" "6+ hours"
