"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"1" "January" "1" "January"
"10" "October" "10" "October"
"11" "November" "11" "November"
"12" "December" "12" "December"
"2" "February" "2" "February"
"3" "March" "3" "March"
"4" "April" "4" "April"
"5" "May" "5" "May"
"6" "June" "6" "June"
"7" "July" "7" "July"
"8" "August" "8" "August"
"9" "September" "9" "September"
