"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"0063" "0063 Amoebic liver abscess" "0063" "0063 Amoebic liver abscess"
"0064" "0064 Amoebic lung abscess" "0064" "0064 Amoebic lung abscess"
"0065" "0065 Amoebic brain abscess" "0065" "0065 Amoebic brain abscess"
"0066" "0066 Amoebic skin ulceration" "0066" "0066 Amoebic skin ulceration"
"0068" "0068 Amoebic infection of other sites" "0068" "0068 Amoebic infection of other sites"
"0069" "0069 Amoebiasis - unspecified" "0069" "0069 Amoebiasis - unspecified"
"007" "007 Other protozoal intestinal diseases" "007" "007 Other protozoal intestinal diseases"
"0070" "0070 Balantidiasis" "0070" "0070 Balantidiasis"
"0071" "0071 Giardiasis" "0071" "0071 Giardiasis"
"0072" "0072 Coccidiosis" "0072" "0072 Coccidiosis"
"0073" "0073 Intestinal trichomoniasis" "0073" "0073 Intestinal trichomoniasis"
"0078" "0078 Other protozoal intestinal diseases" "0078" "0078 Other protozoal intestinal diseases"
"0079" "0079 Protozoal intestinal disease - unspecified" "0079" "0079 Protozoal intestinal disease - unspecified"
"008" "008 Intestinal infections due to other organisms" "008" "008 Intestinal infections due to other organisms"
"0080" "0080 Intestinal infection due to escherichia coli" "0080" "0080 Intestinal infection due to escherichia coli"
"0081" "0081 Intestinal infection due to arizona" "0081" "0081 Intestinal infection due to arizona"
"0082" "0082 Intestinal infection due to aerobacter aerogenes" "0082" "0082 Intestinal infection due to aerobacter aerogenes"
"0083" "0083 Intestinal infection due to proteus (mirabilis)(morganii)" "0083" "0083 Intestinal infection due to proteus (mirabilis)(morganii)"
"0084" "0084 Intestinal infection due to other specified bacteria" "0084" "0084 Intestinal infection due to other specified bacteria"
"00840" "00840 Intestinal infection due to other specified bacteria (campylobacter)" "00840" "00840 Intestinal infection due to other specified bacteria (campylobacter)"
"00849" "00849 Intestinal infection due to other specified bacteria" "00849" "00849 Intestinal infection due to other specified bacteria"
"0085" "0085 Bacterial enteritis - unspecified" "0085" "0085 Bacterial enteritis - unspecified"
"0086" "0086 Enteritis due to specified virus" "0086" "0086 Enteritis due to specified virus"
"0088" "0088 Intestinal infection due to other organism not elsewhere classified" "0088" "0088 Intestinal infection due to other organism not elsewhere classified"
"009" "009 Ill-defined intestinal infections" "009" "009 Ill-defined intestinal infections"
"0090" "0090 Infectious colitis, enteritis and gastroenteritis" "0090" "0090 Infectious colitis, enteritis and gastroenteritis"
"0091" "0091 Colitis, enteritis and gastroenteritis of presumed infectious origin" "0091" "0091 Colitis, enteritis and gastroenteritis of presumed infectious origin"
"0092" "0092 Infectious diarrhoea" "0092" "0092 Infectious diarrhoea"
"0093" "0093 Diarrhoea, of presumed infectious origin" "0093" "0093 Diarrhoea, of presumed infectious origin"
"010" "010 Primary tuberculous infection" "010" "010 Primary tuberculous infection"
"0100" "0100 Primary tuberculous complex" "0100" "0100 Primary tuberculous complex"
"01000" "01000 Primary tuberculous complex (bact/hist not done)" "01000" "01000 Primary tuberculous complex (bact/hist not done)"
"01001" "01001 Primary tuberculous complex (bact/hist unknown)" "01001" "01001 Primary tuberculous complex (bact/hist unknown)"
"01002" "01002 Primary tuberculous complex (microscopy)" "01002" "01002 Primary tuberculous complex (microscopy)"
"01003" "01003 Primary tuberculous complex (culture)" "01003" "01003 Primary tuberculous complex (culture)"
"01004" "01004 Primary tuberculous complex (histology)" "01004" "01004 Primary tuberculous complex (histology)"
"01005" "01005 Primary tuberculous complex (inoculation)" "01005" "01005 Primary tuberculous complex (inoculation)"
"01009" "01009 Primary tuberculous complex (method of diagnosis unspecified)" "01009" "01009 Primary tuberculous complex (method of diagnosis unspecified)"
"0101" "0101 Tuberculous pleurisy in prim. prog. t.b." "0101" "0101 Tuberculous pleurisy in prim. prog. t.b."
"01010" "01010 Tuberculous pleurisy in prim. prog. t.b. (bact/hist not done)" "01010" "01010 Tuberculous pleurisy in prim. prog. t.b. (bact/hist not done)"
"01011" "01011 Tuberculous pleurisy in prim. prog. t.b. (bact/hist unknown)" "01011" "01011 Tuberculous pleurisy in prim. prog. t.b. (bact/hist unknown)"
"01012" "01012 Tuberculous pleurisy in prim. prog. t.b. (microscopy)" "01012" "01012 Tuberculous pleurisy in prim. prog. t.b. (microscopy)"
"01013" "01013 Tuberculous pleurisy in prim. prog. t.b. (culture)" "01013" "01013 Tuberculous pleurisy in prim. prog. t.b. (culture)"
"01014" "01014 Tuberculous pleurisy in prim. prog. t.b. (histology)" "01014" "01014 Tuberculous pleurisy in prim. prog. t.b. (histology)"
"01015" "01015 Tuberculous pleurisy in prim. prog. t.b. (inoculation)" "01015" "01015 Tuberculous pleurisy in prim. prog. t.b. (inoculation)"
"01019" "01019 Tuberculous pleurisy in prim. prog. t.b. (method unknown)" "01019" "01019 Tuberculous pleurisy in prim. prog. t.b. (method unknown)"
"0108" "0108 Other primary progressive tuberculosis" "0108" "0108 Other primary progressive tuberculosis"
"01080" "01080 Other primary progressive tuberculosis (bact/hist not done)" "01080" "01080 Other primary progressive tuberculosis (bact/hist not done)"
"01081" "01081 Other primary progressive tuberculosis (bact/hist unknown)" "01081" "01081 Other primary progressive tuberculosis (bact/hist unknown)"
"01082" "01082 Other primary progressive tuberculosis (microscopy)" "01082" "01082 Other primary progressive tuberculosis (microscopy)"
"01083" "01083 Other primary progressive tuberculosis (culture)" "01083" "01083 Other primary progressive tuberculosis (culture)"
"01084" "01084 Other primary progressive tuberculosis (histology)" "01084" "01084 Other primary progressive tuberculosis (histology)"
"01085" "01085 Other primary progressive tuberculosis (inoculation)" "01085" "01085 Other primary progressive tuberculosis (inoculation)"
"01089" "01089 Other primary progressive tuberculosis (method of diagnosis unspecified)" "01089" "01089 Other primary progressive tuberculosis (method of diagnosis unspecified)"
"0109" "0109 Unspecified primary tuberculous infection" "0109" "0109 Unspecified primary tuberculous infection"
"01090" "01090 Unspecified primary tuberculous infection (bact/hist not done)" "01090" "01090 Unspecified primary tuberculous infection (bact/hist not done)"
"01091" "01091 Unspecified primary tuberculous infection (bact/hist unknown)" "01091" "01091 Unspecified primary tuberculous infection (bact/hist unknown)"
"01092" "01092 Unspecified primary tuberculous infection (microscopy)" "01092" "01092 Unspecified primary tuberculous infection (microscopy)"
"01093" "01093 Unspecified primary tuberculous infection (culture)" "01093" "01093 Unspecified primary tuberculous infection (culture)"
"01094" "01094 Unspecified primary tuberculous infection (histology)" "01094" "01094 Unspecified primary tuberculous infection (histology)"
"01095" "01095 Unspecified primary tuberculous infection (inoculation)" "01095" "01095 Unspecified primary tuberculous infection (inoculation)"
"01099" "01099 Unspecified primary tuberculous infection (method unknown)" "01099" "01099 Unspecified primary tuberculous infection (method unknown)"
"011" "011 Pulmonary tuberculosis" "011" "011 Pulmonary tuberculosis"
"0110" "0110 Tuberculosis of lung, infiltrative" "0110" "0110 Tuberculosis of lung, infiltrative"
"01100" "01100 Tuberculosis of lung, infiltrative (bact/hist not done)" "01100" "01100 Tuberculosis of lung, infiltrative (bact/hist not done)"
"01101" "01101 Tuberculosis of lung, infiltrative (bact/hist unknown)" "01101" "01101 Tuberculosis of lung, infiltrative (bact/hist unknown)"
"01102" "01102 Tuberculosis of lung, infiltrative (microscopy)" "01102" "01102 Tuberculosis of lung, infiltrative (microscopy)"
"01103" "01103 Tuberculosis of lung, infiltrative (culture)" "01103" "01103 Tuberculosis of lung, infiltrative (culture)"
"01104" "01104 Tuberculosis of lung, infiltrative (histology)" "01104" "01104 Tuberculosis of lung, infiltrative (histology)"
"01105" "01105 Tuberculosis of lung, infiltrative (inoculation)" "01105" "01105 Tuberculosis of lung, infiltrative (inoculation)"
"01109" "01109 Tuberculosis of lung, infiltrative (method of diagnosis unspecified)" "01109" "01109 Tuberculosis of lung, infiltrative (method of diagnosis unspecified)"
"0111" "0111 Tuberculosis of lung, nodular" "0111" "0111 Tuberculosis of lung, nodular"
"01110" "01110 Tuberculosis of lung, nodular (bact/hist not done)" "01110" "01110 Tuberculosis of lung, nodular (bact/hist not done)"
"01111" "01111 Tuberculosis of lung, nodular (bact/hist unknown)" "01111" "01111 Tuberculosis of lung, nodular (bact/hist unknown)"
"01112" "01112 Tuberculosis of lung, nodular (microscopy)" "01112" "01112 Tuberculosis of lung, nodular (microscopy)"
"01113" "01113 Tuberculosis of lung, nodular (culture)" "01113" "01113 Tuberculosis of lung, nodular (culture)"
"01114" "01114 Tuberculosis of lung, nodular (histology)" "01114" "01114 Tuberculosis of lung, nodular (histology)"
"01115" "01115 Tuberculosis of lung, nodular (inoculation)" "01115" "01115 Tuberculosis of lung, nodular (inoculation)"
"01119" "01119 Tuberculosis of lung, nodular (method of diagnosis unspecified)" "01119" "01119 Tuberculosis of lung, nodular (method of diagnosis unspecified)"
"0112" "0112 Tuberculosis of lung with cavitation" "0112" "0112 Tuberculosis of lung with cavitation"
"01120" "01120 Tuberculosis of lung with cavitation (bact/hist not done)" "01120" "01120 Tuberculosis of lung with cavitation (bact/hist not done)"
"01121" "01121 Tuberculosis of lung with cavitation (bact/hist unknown)" "01121" "01121 Tuberculosis of lung with cavitation (bact/hist unknown)"
"01122" "01122 Tuberculosis of lung with cavitation (microscopy)" "01122" "01122 Tuberculosis of lung with cavitation (microscopy)"
"01123" "01123 Tuberculosis of lung with cavitation (culture)" "01123" "01123 Tuberculosis of lung with cavitation (culture)"
"01124" "01124 Tuberculosis of lung with cavitation (histology)" "01124" "01124 Tuberculosis of lung with cavitation (histology)"
"01125" "01125 Tuberculosis of lung with cavitation (inoculation)" "01125" "01125 Tuberculosis of lung with cavitation (inoculation)"
"01129" "01129 Tuberculosis of lung with cavitation (method of diagnosis unspecified)" "01129" "01129 Tuberculosis of lung with cavitation (method of diagnosis unspecified)"
"0113" "0113 Tuberculosis of bronchus" "0113" "0113 Tuberculosis of bronchus"
"01130" "01130 Tuberculosis of bronchus (bact/hist not done)" "01130" "01130 Tuberculosis of bronchus (bact/hist not done)"
"01131" "01131 Tuberculosis of bronchus (bact/hist unknown)" "01131" "01131 Tuberculosis of bronchus (bact/hist unknown)"
"01132" "01132 Tuberculosis of bronchus (microscopy)" "01132" "01132 Tuberculosis of bronchus (microscopy)"
"01133" "01133 Tuberculosis of bronchus (culture)" "01133" "01133 Tuberculosis of bronchus (culture)"
"01134" "01134 Tuberculosis of bronchus (histology)" "01134" "01134 Tuberculosis of bronchus (histology)"
"01135" "01135 Tuberculosis of bronchus (inoculation)" "01135" "01135 Tuberculosis of bronchus (inoculation)"
"01139" "01139 Tuberculosis of bronchus (method of diagnosis unspecified)" "01139" "01139 Tuberculosis of bronchus (method of diagnosis unspecified)"
"0114" "0114 Tuberculous fibrosis of lung" "0114" "0114 Tuberculous fibrosis of lung"
"01140" "01140 Tuberculous fibrosis of lung (bact/hist not done)" "01140" "01140 Tuberculous fibrosis of lung (bact/hist not done)"
"01141" "01141 Tuberculous fibrosis of lung (bact/hist unknown)" "01141" "01141 Tuberculous fibrosis of lung (bact/hist unknown)"
"01142" "01142 Tuberculous fibrosis of lung (microscopy)" "01142" "01142 Tuberculous fibrosis of lung (microscopy)"
"01143" "01143 Tuberculous fibrosis of lung (culture)" "01143" "01143 Tuberculous fibrosis of lung (culture)"
"01144" "01144 Tuberculous fibrosis of lung (histology)" "01144" "01144 Tuberculous fibrosis of lung (histology)"
"01145" "01145 Tuberculous fibrosis of lung (inoculation)" "01145" "01145 Tuberculous fibrosis of lung (inoculation)"
"01149" "01149 Tuberculous fibrosis of lung (method of diagnosis unspecified)" "01149" "01149 Tuberculous fibrosis of lung (method of diagnosis unspecified)"
"0115" "0115 Tuberculous bronchiectasis" "0115" "0115 Tuberculous bronchiectasis"
"01150" "01150 Tuberculous bronchiectasis (bact/hist not done)" "01150" "01150 Tuberculous bronchiectasis (bact/hist not done)"
"01151" "01151 Tuberculous bronchiectasis (bact/hist unknown)" "01151" "01151 Tuberculous bronchiectasis (bact/hist unknown)"
"01152" "01152 Tuberculous bronchiectasis (microscopy)" "01152" "01152 Tuberculous bronchiectasis (microscopy)"
"01153" "01153 Tuberculous bronchiectasis (culture)" "01153" "01153 Tuberculous bronchiectasis (culture)"
"01154" "01154 Tuberculous bronchiectasis (histology)" "01154" "01154 Tuberculous bronchiectasis (histology)"
"01155" "01155 Tuberculous bronchiectasis (inoculation)" "01155" "01155 Tuberculous bronchiectasis (inoculation)"
"01159" "01159 Tuberculous bronchiectasis (method of diagnosis unspecified)" "01159" "01159 Tuberculous bronchiectasis (method of diagnosis unspecified)"
"0116" "0116 Tuberculous pneumonia (any form)" "0116" "0116 Tuberculous pneumonia (any form)"
"01160" "01160 Tuberculous pneumonia (any form) (bact/hist not done)" "01160" "01160 Tuberculous pneumonia (any form) (bact/hist not done)"
"01161" "01161 Tuberculous pneumonia (any form) (bact/hist unknown)" "01161" "01161 Tuberculous pneumonia (any form) (bact/hist unknown)"
"01162" "01162 Tuberculous pneumonia (any form) (microscopy)" "01162" "01162 Tuberculous pneumonia (any form) (microscopy)"
"01163" "01163 Tuberculous pneumonia (any form) (culture)" "01163" "01163 Tuberculous pneumonia (any form) (culture)"
"01164" "01164 Tuberculous pneumonia (any form) (histology)" "01164" "01164 Tuberculous pneumonia (any form) (histology)"
"01165" "01165 Tuberculous pneumonia (any form) (inoculation)" "01165" "01165 Tuberculous pneumonia (any form) (inoculation)"
"01169" "01169 Tuberculous pneumonia (any form) (method of diagnosis unspecified)" "01169" "01169 Tuberculous pneumonia (any form) (method of diagnosis unspecified)"
"0117" "0117 Tuberculous pneumothorax" "0117" "0117 Tuberculous pneumothorax"
"01170" "01170 Tuberculous pneumothorax (bact/hist not done)" "01170" "01170 Tuberculous pneumothorax (bact/hist not done)"
"01171" "01171 Tuberculous pneumothorax (bact/hist unknown)" "01171" "01171 Tuberculous pneumothorax (bact/hist unknown)"
"01172" "01172 Tuberculous pneumothorax (microscopy)" "01172" "01172 Tuberculous pneumothorax (microscopy)"
"01173" "01173 Tuberculous pneumothorax (culture)" "01173" "01173 Tuberculous pneumothorax (culture)"
"01174" "01174 Tuberculous pneumothorax (histology)" "01174" "01174 Tuberculous pneumothorax (histology)"
"01175" "01175 Tuberculous pneumothorax (inoculation)" "01175" "01175 Tuberculous pneumothorax (inoculation)"
"01179" "01179 Tuberculous pneumothorax (method of diagnosis unspecified)" "01179" "01179 Tuberculous pneumothorax (method of diagnosis unspecified)"
"0118" "0118 Other pulmonary tuberculosis" "0118" "0118 Other pulmonary tuberculosis"
"01180" "01180 Other pulmonary tuberculosis (bact/hist not done)" "01180" "01180 Other pulmonary tuberculosis (bact/hist not done)"
"01181" "01181 Other pulmonary tuberculosis (bact/hist unknown)" "01181" "01181 Other pulmonary tuberculosis (bact/hist unknown)"
"01182" "01182 Other pulmonary tuberculosis (microscopy)" "01182" "01182 Other pulmonary tuberculosis (microscopy)"
"01183" "01183 Other pulmonary tuberculosis (culture)" "01183" "01183 Other pulmonary tuberculosis (culture)"
"01184" "01184 Other pulmonary tuberculosis (histology)" "01184" "01184 Other pulmonary tuberculosis (histology)"
"01185" "01185 Other pulmonary tuberculosis (inoculation)" "01185" "01185 Other pulmonary tuberculosis (inoculation)"
"01189" "01189 Other pulmonary tuberculosis (method of diagnosis unspecified)" "01189" "01189 Other pulmonary tuberculosis (method of diagnosis unspecified)"
"0119" "0119 Unspecified pulmonary tuberculosis" "0119" "0119 Unspecified pulmonary tuberculosis"
"01190" "01190 Unspecified pulmonary tuberculosis (bact/hist not done)" "01190" "01190 Unspecified pulmonary tuberculosis (bact/hist not done)"
"01191" "01191 Unspecified pulmonary tuberculosis (bact/hist unknown)" "01191" "01191 Unspecified pulmonary tuberculosis (bact/hist unknown)"
"01192" "01192 Unspecified pulmonary tuberculosis (microscopy)" "01192" "01192 Unspecified pulmonary tuberculosis (microscopy)"
"01193" "01193 Unspecified pulmonary tuberculosis (culture)" "01193" "01193 Unspecified pulmonary tuberculosis (culture)"
"01194" "01194 Unspecified pulmonary tuberculosis (histology)" "01194" "01194 Unspecified pulmonary tuberculosis (histology)"
"01195" "01195 Unspecified pulmonary tuberculosis (inoculation)" "01195" "01195 Unspecified pulmonary tuberculosis (inoculation)"
"01199" "01199 Unspecified pulmonary tuberculosis (method of diagnosis unspecified)" "01199" "01199 Unspecified pulmonary tuberculosis (method of diagnosis unspecified)"
"012" "012 Other respiratory tuberculosis" "012" "012 Other respiratory tuberculosis"
"0120" "0120 Tuberculous pleurisy" "0120" "0120 Tuberculous pleurisy"
"01200" "01200 Tuberculous pleurisy (bact/hist not done)" "01200" "01200 Tuberculous pleurisy (bact/hist not done)"
"01201" "01201 Tuberculous pleurisy (bact/hist unknown)" "01201" "01201 Tuberculous pleurisy (bact/hist unknown)"
"01202" "01202 Tuberculous pleurisy (tubercle bacilli found (in sputum) by microscopy)" "01202" "01202 Tuberculous pleurisy (tubercle bacilli found (in sputum) by microscopy)"
"01203" "01203 Tuberculous pleurisy (culture)" "01203" "01203 Tuberculous pleurisy (culture)"
"01204" "01204 Tuberculous pleurisy (histology)" "01204" "01204 Tuberculous pleurisy (histology)"
"01205" "01205 Tuberculous pleurisy (inoculation)" "01205" "01205 Tuberculous pleurisy (inoculation)"
"01209" "01209 Tuberculous pleurisy (method of diagnosis unspecified)" "01209" "01209 Tuberculous pleurisy (method of diagnosis unspecified)"
"0121" "0121 Tuberculosis of intrathoracic lymph nodes" "0121" "0121 Tuberculosis of intrathoracic lymph nodes"
"01210" "01210 Tuberculosis of intrathoracic lymph nodes (bact/hist not done)" "01210" "01210 Tuberculosis of intrathoracic lymph nodes (bact/hist not done)"
"01211" "01211 Tuberculosis of intrathoracic lymph nodes (bact/hist unknown)" "01211" "01211 Tuberculosis of intrathoracic lymph nodes (bact/hist unknown)"
"01212" "01212 Tuberculosis of intrathoracic lymph nodes (microscopy)" "01212" "01212 Tuberculosis of intrathoracic lymph nodes (microscopy)"
"01213" "01213 Tuberculosis of intrathoracic lymph nodes (culture)" "01213" "01213 Tuberculosis of intrathoracic lymph nodes (culture)"
"01214" "01214 Tuberculosis of intrathoracic lymph nodes (histology)" "01214" "01214 Tuberculosis of intrathoracic lymph nodes (histology)"
"01215" "01215 Tuberculosis of intrathoracic lymph nodes (inoculation)" "01215" "01215 Tuberculosis of intrathoracic lymph nodes (inoculation)"
"01219" "01219 Tuberculosis of intrathoracic lymph nodes (method unknown)" "01219" "01219 Tuberculosis of intrathoracic lymph nodes (method unknown)"
"0122" "0122 Isolated tracheal or bronchial tuberculosis" "0122" "0122 Isolated tracheal or bronchial tuberculosis"
"01220" "01220 Isolated tracheal or bronchial tuberculosis (bact/hist not done)" "01220" "01220 Isolated tracheal or bronchial tuberculosis (bact/hist not done)"
"01221" "01221 Isolated tracheal or bronchial tuberculosis (bact/hist unknown)" "01221" "01221 Isolated tracheal or bronchial tuberculosis (bact/hist unknown)"
"01222" "01222 Isolated tracheal or bronchial tuberculosis (microscopy)" "01222" "01222 Isolated tracheal or bronchial tuberculosis (microscopy)"
"01223" "01223 Isolated tracheal or bronchial tuberculosis (culture)" "01223" "01223 Isolated tracheal or bronchial tuberculosis (culture)"
"01224" "01224 Isolated tracheal or bronchial tuberculosis (histology)" "01224" "01224 Isolated tracheal or bronchial tuberculosis (histology)"
"01225" "01225 Isolated tracheal or bronchial tuberculosis (inoculation)" "01225" "01225 Isolated tracheal or bronchial tuberculosis (inoculation)"
"01229" "01229 Isolated tracheal or bronchial tuberculosis (method unknown)" "01229" "01229 Isolated tracheal or bronchial tuberculosis (method unknown)"
"0123" "0123 Tuberculous laryngitis" "0123" "0123 Tuberculous laryngitis"
"01230" "01230 Tuberculous laryngitis (bact/hist not done)" "01230" "01230 Tuberculous laryngitis (bact/hist not done)"
"01231" "01231 Tuberculous laryngitis (bact/hist unknown)" "01231" "01231 Tuberculous laryngitis (bact/hist unknown)"
"01232" "01232 Tuberculous laryngitis (tubercle bacilli found (in sputum) by microscopy)" "01232" "01232 Tuberculous laryngitis (tubercle bacilli found (in sputum) by microscopy)"
"01233" "01233 Tuberculous laryngitis (culture)" "01233" "01233 Tuberculous laryngitis (culture)"
"01234" "01234 Tuberculous laryngitis (histology)" "01234" "01234 Tuberculous laryngitis (histology)"
"01235" "01235 Tuberculous laryngitis (inoculation)" "01235" "01235 Tuberculous laryngitis (inoculation)"
"01239" "01239 Tuberculous laryngitis (method of diagnosis unspecified)" "01239" "01239 Tuberculous laryngitis (method of diagnosis unspecified)"
"0128" "0128 Other respiratory tuberculosis" "0128" "0128 Other respiratory tuberculosis"
"01280" "01280 Other respiratory tuberculosis (bact/hist not done)" "01280" "01280 Other respiratory tuberculosis (bact/hist not done)"
"01281" "01281 Other respiratory tuberculosis (bact/hist unknown)" "01281" "01281 Other respiratory tuberculosis (bact/hist unknown)"
"01282" "01282 Other respiratory tuberculosis (microscopy)" "01282" "01282 Other respiratory tuberculosis (microscopy)"
"01283" "01283 Other respiratory tuberculosis (culture)" "01283" "01283 Other respiratory tuberculosis (culture)"
"01284" "01284 Other respiratory tuberculosis (histology)" "01284" "01284 Other respiratory tuberculosis (histology)"
"01285" "01285 Other respiratory tuberculosis (inoculation)" "01285" "01285 Other respiratory tuberculosis (inoculation)"
"01289" "01289 Other respiratory tuberculosis (method of diagnosis unspecified)" "01289" "01289 Other respiratory tuberculosis (method of diagnosis unspecified)"
"013" "013 Tuberculosis of meninges and central nervous system" "013" "013 Tuberculosis of meninges and central nervous system"
"0130" "0130 Tuberculous meningitis" "0130" "0130 Tuberculous meningitis"
"0131" "0131 Tuberculoma of meninges" "0131" "0131 Tuberculoma of meninges"
"0138" "0138 Other tuberculosis of meninges and c.n.s." "0138" "0138 Other tuberculosis of meninges and c.n.s."
"01380" "01380 Other tuberculosis of meninges and c.n.s. (bact/hist not done)" "01380" "01380 Other tuberculosis of meninges and c.n.s. (bact/hist not done)"
"01381" "01381 Other tuberculosis of meninges and c.n.s. (bact/hist unknown)" "01381" "01381 Other tuberculosis of meninges and c.n.s. (bact/hist unknown)"
"01382" "01382 Other tuberculosis of meninges and c.n.s. (microscopy)" "01382" "01382 Other tuberculosis of meninges and c.n.s. (microscopy)"
"01383" "01383 Other tuberculosis of meninges and c.n.s. (culture)" "01383" "01383 Other tuberculosis of meninges and c.n.s. (culture)"
"01384" "01384 Other tuberculosis of meninges and c.n.s. (histology)" "01384" "01384 Other tuberculosis of meninges and c.n.s. (histology)"
"01385" "01385 Other tuberculosis of meninges and c.n.s. (inoculation)" "01385" "01385 Other tuberculosis of meninges and c.n.s. (inoculation)"
"01389" "01389 Other tuberculosis of meninges and c.n.s. (method unknown)" "01389" "01389 Other tuberculosis of meninges and c.n.s. (method unknown)"
"0139" "0139 Unspecified t.b. of meninges and c.n.s." "0139" "0139 Unspecified t.b. of meninges and c.n.s."
"01390" "01390 Unspecified t.b. of meninges and c.n.s. (bact/hist not done)" "01390" "01390 Unspecified t.b. of meninges and c.n.s. (bact/hist not done)"
"01391" "01391 Unspecified t.b. of meninges and c.n.s. (bact/hist unknown)" "01391" "01391 Unspecified t.b. of meninges and c.n.s. (bact/hist unknown)"
"01392" "01392 Unspecified t.b. of meninges and c.n.s. (microscopy)" "01392" "01392 Unspecified t.b. of meninges and c.n.s. (microscopy)"
"01393" "01393 Unspecified t.b. of meninges and c.n.s. (culture)" "01393" "01393 Unspecified t.b. of meninges and c.n.s. (culture)"
"01394" "01394 Unspecified t.b. of meninges and c.n.s. (histology)" "01394" "01394 Unspecified t.b. of meninges and c.n.s. (histology)"
"01395" "01395 Unspecified t.b. of meninges and c.n.s. (inoculation)" "01395" "01395 Unspecified t.b. of meninges and c.n.s. (inoculation)"
"01399" "01399 Unspecified t.b. of meninges and c.n.s. (method unknown)" "01399" "01399 Unspecified t.b. of meninges and c.n.s. (method unknown)"
"014" "014 Tuberculosis of intestines, peritoneum and mesenteric glands" "014" "014 Tuberculosis of intestines, peritoneum and mesenteric glands"
"0149" "0149 T.b. intestines, peritoneum, mesenteric glands" "0149" "0149 T.b. intestines, peritoneum, mesenteric glands"
"01490" "01490 T.b. intestines, peritoneum, mesenteric glands (bact/hist not done)" "01490" "01490 T.b. intestines, peritoneum, mesenteric glands (bact/hist not done)"
"01491" "01491 T.b. intestines, peritoneum, mesenteric glands (bact/hist unknown)" "01491" "01491 T.b. intestines, peritoneum, mesenteric glands (bact/hist unknown)"
"01492" "01492 T.b. intestines, peritoneum, mesenteric glands (microscopy)" "01492" "01492 T.b. intestines, peritoneum, mesenteric glands (microscopy)"
"01493" "01493 T.b. intestines, peritoneum, mesenteric glands (culture)" "01493" "01493 T.b. intestines, peritoneum, mesenteric glands (culture)"
"01494" "01494 T.b. intestines, peritoneum, mesenteric glands (histology)" "01494" "01494 T.b. intestines, peritoneum, mesenteric glands (histology)"
"01495" "01495 T.b. intestines, peritoneum, mesenteric glands (inoculation)" "01495" "01495 T.b. intestines, peritoneum, mesenteric glands (inoculation)"
