"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"001" "001 Cholera" "001" "001 Cholera"
"0010" "0010 Cholera due to vibrio cholerae" "0010" "0010 Cholera due to vibrio cholerae"
"0011" "0011 Cholera due to vibrio cholerae el tor" "0011" "0011 Cholera due to vibrio cholerae el tor"
"0019" "0019 Cholera - unspecified" "0019" "0019 Cholera - unspecified"
"002" "002 Typhoid and paratyphoid fevers" "002" "002 Typhoid and paratyphoid fevers"
"0020" "0020 Typhoid fever" "0020" "0020 Typhoid fever"
"0021" "0021 Paratyphoid fever a" "0021" "0021 Paratyphoid fever a"
"0022" "0022 Paratyphoid fever b" "0022" "0022 Paratyphoid fever b"
"0023" "0023 Paratyphoid fever c" "0023" "0023 Paratyphoid fever c"
"0029" "0029 Paratyphoid fever - unspecified" "0029" "0029 Paratyphoid fever - unspecified"
"003" "003 Other salmonella infections" "003" "003 Other salmonella infections"
"0030" "0030 Salmonella gastroenteritis" "0030" "0030 Salmonella gastroenteritis"
"0031" "0031 Salmonella septicaemia" "0031" "0031 Salmonella septicaemia"
"0032" "0032 Localized salmonella infections" "0032" "0032 Localized salmonella infections"
"0038" "0038 Other specified salmonella infection" "0038" "0038 Other specified salmonella infection"
"0039" "0039 Salmonella infection - unspecified" "0039" "0039 Salmonella infection - unspecified"
"004" "004 Shigellosis" "004" "004 Shigellosis"
"0040" "0040 Shigella dysenteriae" "0040" "0040 Shigella dysenteriae"
"0041" "0041 Shigella flexneri" "0041" "0041 Shigella flexneri"
"0042" "0042 Shigella boydii" "0042" "0042 Shigella boydii"
"0043" "0043 Shigella sonnei" "0043" "0043 Shigella sonnei"
"0048" "0048 Other shigellosis" "0048" "0048 Other shigellosis"
"0049" "0049 Shigellosis - unspecified" "0049" "0049 Shigellosis - unspecified"
"005" "005 Other food poisoning (bacterial)" "005" "005 Other food poisoning (bacterial)"
"0050" "0050 Staphylococcal food poisoning" "0050" "0050 Staphylococcal food poisoning"
"0051" "0051 Botulism" "0051" "0051 Botulism"
"0052" "0052 Food poisoning due to clostridium perfringens (cl. welchii)" "0052" "0052 Food poisoning due to clostridium perfringens (cl. welchii)"
"0053" "0053 Food poisoning due to other clostridia" "0053" "0053 Food poisoning due to other clostridia"
"0054" "0054 Food poisoning due to vibrio parahaemolyticus" "0054" "0054 Food poisoning due to vibrio parahaemolyticus"
"0058" "0058 Other bacterial food poisoning" "0058" "0058 Other bacterial food poisoning"
"0059" "0059 Food poisoning - unspecified" "0059" "0059 Food poisoning - unspecified"
"006" "006 Amoebiasis" "006" "006 Amoebiasis"
"0060" "0060 Acute amoebic dysentery without mention of abscess" "0060" "0060 Acute amoebic dysentery without mention of abscess"
"0061" "0061 Chronic intestinal amoebiasis without mention of abscess" "0061" "0061 Chronic intestinal amoebiasis without mention of abscess"
"0062" "0062 Amoebic nondysenteric colitis" "0062" "0062 Amoebic nondysenteric colitis"
