"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"A00" "A00 Cholera" "A00" "A00 Cholera"
"A000" "A00.0 Cholera due to Vibrio cholerae 01, biovar cholerae" "A000" "A00.0 Cholera due to Vibrio cholerae 01, biovar cholerae"
"A001" "A00.1 Cholera due to Vibrio cholerae 01, biovar el tor" "A001" "A00.1 Cholera due to Vibrio cholerae 01, biovar el tor"
"A009" "A00.9 Cholera, unspecified" "A009" "A00.9 Cholera, unspecified"
"A01" "A01 Typhoid and paratyphoid fevers" "A01" "A01 Typhoid and paratyphoid fevers"
"A010" "A01.0 Typhoid fever" "A010" "A01.0 Typhoid fever"
"A011" "A01.1 Paratyphoid fever A" "A011" "A01.1 Paratyphoid fever A"
"A012" "A01.2 Paratyphoid fever B" "A012" "A01.2 Paratyphoid fever B"
"A013" "A01.3 Paratyphoid fever C" "A013" "A01.3 Paratyphoid fever C"
"A014" "A01.4 Paratyphoid fever, unspecified" "A014" "A01.4 Paratyphoid fever, unspecified"
"A02" "A02 Other Salmonella infections" "A02" "A02 Other Salmonella infections"
"A020" "A02.0 Salmonella gastro-enteritis" "A020" "A02.0 Salmonella gastro-enteritis"
"A021" "A02.1 Salmonella septicaemia" "A021" "A02.1 Salmonella septicaemia"
"A022" "A02.2 Localised Salmonella infections" "A022" "A02.2 Localised Salmonella infections"
"A028" "A02.8 Other specified Salmonella infections" "A028" "A02.8 Other specified Salmonella infections"
"A029" "A02.9 Salmonella infection, unspecified" "A029" "A02.9 Salmonella infection, unspecified"
"A03" "A03 Shigellosis" "A03" "A03 Shigellosis"
"A030" "A03.0 Shigellosis due to Shigella dysenteriae" "A030" "A03.0 Shigellosis due to Shigella dysenteriae"
"A031" "A03.1 Shigellosis due to Shigella flexneri" "A031" "A03.1 Shigellosis due to Shigella flexneri"
"A032" "A03.2 Shigellosis due to Shigella boydii" "A032" "A03.2 Shigellosis due to Shigella boydii"
"A033" "A03.3 Shigellosis due to Shigella sonnei" "A033" "A03.3 Shigellosis due to Shigella sonnei"
"A038" "A03.8 Other shigellosis" "A038" "A03.8 Other shigellosis"
"A039" "A03.9 Shigellosis, unspecified" "A039" "A03.9 Shigellosis, unspecified"
"A04" "A04 Other bacterial intestinal infections" "A04" "A04 Other bacterial intestinal infections"
"A040" "A04.0 Enteropathogenic Escherichia coli infection" "A040" "A04.0 Enteropathogenic Escherichia coli infection"
"A041" "A04.1 Enterotoxigenic Escherichia coli infection" "A041" "A04.1 Enterotoxigenic Escherichia coli infection"
"A042" "A04.2 Enteroinvasive Escherichia coli infection" "A042" "A04.2 Enteroinvasive Escherichia coli infection"
"A043" "A04.3 Enterohaemorrhagic Escherichia coli infection" "A043" "A04.3 Enterohaemorrhagic Escherichia coli infection"
"A044" "A04.4 Other intestinal Escherichia coli infections" "A044" "A04.4 Other intestinal Escherichia coli infections"
"A045" "A04.5 Campylobacter enteritis" "A045" "A04.5 Campylobacter enteritis"
"A046" "A04.6 Enteritis due to Yersinia enterocolitica" "A046" "A04.6 Enteritis due to Yersinia enterocolitica"
"A047" "A04.7 Enterocolitis due to Clostridium difficile" "A047" "A04.7 Enterocolitis due to Clostridium difficile"
"A048" "A04.8 Other specified bacterial intestinal infections" "A048" "A04.8 Other specified bacterial intestinal infections"
"A049" "A04.9 Bacterial intestinal infection, unspecified" "A049" "A04.9 Bacterial intestinal infection, unspecified"
"A05" "A05 Other bacterial foodborne intoxications" "A05" "A05 Other bacterial foodborne intoxications"
"A050" "A05.0 Foodborne staphylococcal intoxication" "A050" "A05.0 Foodborne staphylococcal intoxication"
"A051" "A05.1 Botulism" "A051" "A05.1 Botulism"
"A052" "A05.2 Foodborne Clostridium perfringens [Clostridium welchii] intoxication" "A052" "A05.2 Foodborne Clostridium perfringens [Clostridium welchii] intoxication"
"A053" "A05.3 Foodborne Vibrio parahaemolyticus intoxication" "A053" "A05.3 Foodborne Vibrio parahaemolyticus intoxication"
"A054" "A05.4 Foodborne Bacillus cereus intoxication" "A054" "A05.4 Foodborne Bacillus cereus intoxication"
"A058" "A05.8 Other specified bacterial foodborne intoxications" "A058" "A05.8 Other specified bacterial foodborne intoxications"
"A059" "A05.9 Bacterial foodborne intoxication, unspecified" "A059" "A05.9 Bacterial foodborne intoxication, unspecified"
"A06" "A06 Amoebiasis" "A06" "A06 Amoebiasis"
"A060" "A06.0 Acute amoebic dysentery" "A060" "A06.0 Acute amoebic dysentery"
"A061" "A06.1 Chronic intestinal amoebiasis" "A061" "A06.1 Chronic intestinal amoebiasis"
"A062" "A06.2 Amoebic nondysenteric colitis" "A062" "A06.2 Amoebic nondysenteric colitis"
"A063" "A06.3 Amoeboma of intestine" "A063" "A06.3 Amoeboma of intestine"
"A064" "A06.4 Amoebic liver abscess" "A064" "A06.4 Amoebic liver abscess"
"A065" "A06.5 Amoebic lung abscess" "A065" "A06.5 Amoebic lung abscess"
"A066" "A06.6 Amoebic brain abscess" "A066" "A06.6 Amoebic brain abscess"
"A067" "A06.7 Cutaneous amoebiasis" "A067" "A06.7 Cutaneous amoebiasis"
"A068" "A06.8 Amoebic infection of other sites" "A068" "A06.8 Amoebic infection of other sites"
"A069" "A06.9 Amoebiasis, unspecified" "A069" "A06.9 Amoebiasis, unspecified"
"A07" "A07 Other protozoal intestinal diseases" "A07" "A07 Other protozoal intestinal diseases"
"A070" "A07.0 Balantidiasis" "A070" "A07.0 Balantidiasis"
"A071" "A07.1 Giardiasis [lambliasis]" "A071" "A07.1 Giardiasis [lambliasis]"
"A072" "A07.2 Cryptosporidiosis" "A072" "A07.2 Cryptosporidiosis"
"A073" "A07.3 Isosporiasis" "A073" "A07.3 Isosporiasis"
"A078" "A07.8 Other specified protozoal intestinal diseases" "A078" "A07.8 Other specified protozoal intestinal diseases"
"A079" "A07.9 Protozoal intestinal disease, unspecified" "A079" "A07.9 Protozoal intestinal disease, unspecified"
"A08" "A08 Viral and other specified intestinal infections" "A08" "A08 Viral and other specified intestinal infections"
"A080" "A08.0 Rotaviral enteritis" "A080" "A08.0 Rotaviral enteritis"
"A081" "A08.1 Acute gastro-enteropathy due to Norwalk agent" "A081" "A08.1 Acute gastro-enteropathy due to Norwalk agent"
"A082" "A08.2 Adenoviral enteritis" "A082" "A08.2 Adenoviral enteritis"
"A083" "A08.3 Other viral enteritis" "A083" "A08.3 Other viral enteritis"
"A084" "A08.4 Viral intestinal infection, unspecified" "A084" "A08.4 Viral intestinal infection, unspecified"
"A085" "A08.5 Other specified intestinal infections" "A085" "A08.5 Other specified intestinal infections"
"A09" "A09 Diarrhoea and gastro-enteritis of presumed infectious origin" "A09" "A09 Diarrhoea and gastro-enteritis of presumed infectious origin"
"A090" "A09.0 Other and unspecified gastroenteritis and colitis of infectious origin" "A090" "A09.0 Other and unspecified gastroenteritis and colitis of infectious origin"
"A099" "A09.9 Gastroenteritis and colitis of unspecified origin" "A099" "A09.9 Gastroenteritis and colitis of unspecified origin"
"A15" "A15 Respiratory tuberculosis, bacteriologically and histologically confirmed" "A15" "A15 Respiratory tuberculosis, bacteriologically and histologically confirmed"
"A150" "A15.0 Tuberculosis of lung, confirmed by sputum microscopy with or without culture" "A150" "A15.0 Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
"A151" "A15.1 Tuberculosis of lung, confirmed by culture only" "A151" "A15.1 Tuberculosis of lung, confirmed by culture only"
