"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"A082" "A08.2 Biopsy of lesion of tissue of temporal lobe of brain NEC" "A082" "A08.2 Biopsy of lesion of tissue of temporal lobe of brain NEC"
"A083" "A08.3 Biopsy of lesion of tissue of parietal lobe of brain NEC" "A083" "A08.3 Biopsy of lesion of tissue of parietal lobe of brain NEC"
"A084" "A08.4 Biopsy of lesion of tissue of occipital lobe of brain NEC" "A084" "A08.4 Biopsy of lesion of tissue of occipital lobe of brain NEC"
"A085" "A08.5 Biopsy of lesion of tissue of cerebellum NEC" "A085" "A08.5 Biopsy of lesion of tissue of cerebellum NEC"
"A086" "A08.6 Biopsy of lesion of tissue of brain stem NEC" "A086" "A08.6 Biopsy of lesion of tissue of brain stem NEC"
"A088" "A08.8 Other specified other biopsy of lesion of tissue of brain" "A088" "A08.8 Other specified other biopsy of lesion of tissue of brain"
"A089" "A08.9 Unspecified other biopsy of lesion of tissue of brain" "A089" "A08.9 Unspecified other biopsy of lesion of tissue of brain"
"A09" "A09 Neurostimulation of brain" "A09" "A09 Neurostimulation of brain"
"A091" "A09.1 Implantation of neurostimulator into brain" "A091" "A09.1 Implantation of neurostimulator into brain"
"A092" "A09.2 Maintenance of neurostimulator in brain" "A092" "A09.2 Maintenance of neurostimulator in brain"
"A093" "A09.3 Removal of neurostimulator from brain" "A093" "A09.3 Removal of neurostimulator from brain"
"A094" "A09.4 Operation on neurostimulator in brain NEC" "A094" "A09.4 Operation on neurostimulator in brain NEC"
"A095" "A09.5 Insertion of neurostimulator electrodes into the brain" "A095" "A09.5 Insertion of neurostimulator electrodes into the brain"
"A098" "A09.8 Other specified neurostimulation of brain" "A098" "A09.8 Other specified neurostimulation of brain"
"A099" "A09.9 Unspecified neurostimulation of brain" "A099" "A09.9 Unspecified neurostimulation of brain"
"A10" "A10 Other operations on tissue of brain" "A10" "A10 Other operations on tissue of brain"
"A101" "A10.1 Leucotomy NEC" "A101" "A10.1 Leucotomy NEC"
"A102" "A10.2 Aspiration of abscess of tissue of brain" "A102" "A10.2 Aspiration of abscess of tissue of brain"
"A103" "A10.3 Aspiration of haematoma of tissue of brain" "A103" "A10.3 Aspiration of haematoma of tissue of brain"
"A104" "A10.4 Aspiration of lesion of tissue of brain NEC" "A104" "A10.4 Aspiration of lesion of tissue of brain NEC"
"A105" "A10.5 Puncture of tissue of brain NEC" "A105" "A10.5 Puncture of tissue of brain NEC"
"A106" "A10.6 Insertion of carmustine wafers in neoplasm of tissue of brain" "A106" "A10.6 Insertion of carmustine wafers in neoplasm of tissue of brain"
"A107" "A10.7 Stereotactic radiosurgery on tissue of brain" "A107" "A10.7 Stereotactic radiosurgery on tissue of brain"
"A108" "A10.8 Other specified other operations on tissue of brain" "A108" "A10.8 Other specified other operations on tissue of brain"
"A109" "A10.9 Unspecified other operations on tissue of brain" "A109" "A10.9 Unspecified other operations on tissue of brain"
"A11" "A11 Operations on tissue of brain" "A11" "A11 Operations on tissue of brain"
"A111" "A11.1 Placement of depth electrodes for electroencephalography" "A111" "A11.1 Placement of depth electrodes for electroencephalography"
"A112" "A11.2 Placement of surface electrodes for electroencephalography" "A112" "A11.2 Placement of surface electrodes for electroencephalography"
"A113" "A11.3 Monitoring of pressure in tissue of brain" "A113" "A11.3 Monitoring of pressure in tissue of brain"
