"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"G551" "G55.1 Diagnostic endoscopic examination of duodenum and biopsy of lesion of duodenum" "G551" "G55.1 Diagnostic endoscopic examination of duodenum and biopsy of lesion of duodenum"
"G558" "G55.8 Other specified diagnostic endoscopic examination of duodenum" "G558" "G55.8 Other specified diagnostic endoscopic examination of duodenum"
"G559" "G55.9 Unspecified diagnostic endoscopic examination of duodenum" "G559" "G55.9 Unspecified diagnostic endoscopic examination of duodenum"
"G57" "G57 Other operations on duodenum" "G57" "G57 Other operations on duodenum"
"G571" "G57.1 Intubation of duodenum for studies of pancreatic function HFQ" "G571" "G57.1 Intubation of duodenum for studies of pancreatic function HFQ"
"G572" "G57.2 Intubation of duodenum NEC" "G572" "G57.2 Intubation of duodenum NEC"
"G578" "G57.8 Other specified other operations on duodenum" "G578" "G57.8 Other specified other operations on duodenum"
"G579" "G57.9 Unspecified other operations on duodenum" "G579" "G57.9 Unspecified other operations on duodenum"
"G58" "G58 Excision of jejunum" "G58" "G58 Excision of jejunum"
"G581" "G58.1 Total jejunectomy and anastomosis of stomach to ileum" "G581" "G58.1 Total jejunectomy and anastomosis of stomach to ileum"
"G582" "G58.2 Total jejunectomy and anastomosis of duodenum to ileum" "G582" "G58.2 Total jejunectomy and anastomosis of duodenum to ileum"
"G583" "G58.3 Total jejunectomy and anastomosis of duodenum to colon" "G583" "G58.3 Total jejunectomy and anastomosis of duodenum to colon"
"G584" "G58.4 Partial jejunectomy and anastomosis of jejunum to ileum" "G584" "G58.4 Partial jejunectomy and anastomosis of jejunum to ileum"
"G585" "G58.5 Partial jejunectomy and anastomosis of duodenum to colon" "G585" "G58.5 Partial jejunectomy and anastomosis of duodenum to colon"
"G588" "G58.8 Other specified excision of jejunum" "G588" "G58.8 Other specified excision of jejunum"
"G589" "G58.9 Unspecified excision of jejunum" "G589" "G58.9 Unspecified excision of jejunum"
"G59" "G59 Extirpation of lesion of jejunum" "G59" "G59 Extirpation of lesion of jejunum"
"G591" "G59.1 Excision of lesion of jejunum" "G591" "G59.1 Excision of lesion of jejunum"
"G592" "G59.2 Open destruction of lesion of jejunum" "G592" "G59.2 Open destruction of lesion of jejunum"
"G598" "G59.8 Other specified extirpation of lesion of jejunum" "G598" "G59.8 Other specified extirpation of lesion of jejunum"
"G599" "G59.9 Unspecified extirpation of lesion of jejunum" "G599" "G59.9 Unspecified extirpation of lesion of jejunum"
"G60" "G60 Artificial opening into jejunum" "G60" "G60 Artificial opening into jejunum"
"G601" "G60.1 Creation of jejunostomy" "G601" "G60.1 Creation of jejunostomy"
"G602" "G60.2 Refashioning of jejunostomy" "G602" "G60.2 Refashioning of jejunostomy"
"G603" "G60.3 Closure of jejunostomy" "G603" "G60.3 Closure of jejunostomy"
"G604" "G60.4 Attention to jejunostomy tube" "G604" "G60.4 Attention to jejunostomy tube"
"G608" "G60.8 Other specified artificial opening into jejunum" "G608" "G60.8 Other specified artificial opening into jejunum"
"G609" "G60.9 Unspecified artificial opening into jejunum" "G609" "G60.9 Unspecified artificial opening into jejunum"
"G61" "G61 Bypass of jejunum" "G61" "G61 Bypass of jejunum"
"G611" "G61.1 Bypass of jejunum by anastomosis of jejunum to jejunum" "G611" "G61.1 Bypass of jejunum by anastomosis of jejunum to jejunum"
"G612" "G61.2 Bypass of jejunum by anastomosis of jejunum to ileum" "G612" "G61.2 Bypass of jejunum by anastomosis of jejunum to ileum"
"G613" "G61.3 Bypass of jejunum by anastomosis of jejunum to colon" "G613" "G61.3 Bypass of jejunum by anastomosis of jejunum to colon"
"G618" "G61.8 Other specified bypass of jejunum" "G618" "G61.8 Other specified bypass of jejunum"
"G619" "G61.9 Unspecified bypass of jejunum" "G619" "G61.9 Unspecified bypass of jejunum"
"G62" "G62 Open endoscopic operations on jejunum" "G62" "G62 Open endoscopic operations on jejunum"
"G621" "G62.1 Open jejunoscopy" "G621" "G62.1 Open jejunoscopy"
"G628" "G62.8 Other specified open endoscopic operations on jejunum" "G628" "G62.8 Other specified open endoscopic operations on jejunum"
"G629" "G62.9 Unspecified open endoscopic operations on jejunum" "G629" "G62.9 Unspecified open endoscopic operations on jejunum"
"G63" "G63 Other open operations on jejunum" "G63" "G63 Other open operations on jejunum"
"G631" "G63.1 Open biopsy of lesion of jejunum" "G631" "G63.1 Open biopsy of lesion of jejunum"
"G632" "G63.2 Incision of jejunum" "G632" "G63.2 Incision of jejunum"
"G633" "G63.3 Closure of perforation of jejunum" "G633" "G63.3 Closure of perforation of jejunum"
"G634" "G63.4 Open intubation of jejunum" "G634" "G63.4 Open intubation of jejunum"
"G638" "G63.8 Other specified other open operations on jejunum" "G638" "G63.8 Other specified other open operations on jejunum"
"G639" "G63.9 Unspecified other open operations on jejunum" "G639" "G63.9 Unspecified other open operations on jejunum"
"G64" "G64 Therapeutic endoscopic operations on jejunum" "G64" "G64 Therapeutic endoscopic operations on jejunum"
"G641" "G64.1 Endoscopic extirpation of lesion of jejunum" "G641" "G64.1 Endoscopic extirpation of lesion of jejunum"
"G642" "G64.2 Endoscopic dilation of jejunum" "G642" "G64.2 Endoscopic dilation of jejunum"
"G643" "G64.3 Endoscopic insertion of tubal prosthesis into jejunum" "G643" "G64.3 Endoscopic insertion of tubal prosthesis into jejunum"
"G648" "G64.8 Other specified therapeutic endoscopic operations on jejunum" "G648" "G64.8 Other specified therapeutic endoscopic operations on jejunum"
"G649" "G64.9 Unspecified therapeutic endoscopic operations on jejunum" "G649" "G64.9 Unspecified therapeutic endoscopic operations on jejunum"
"G65" "G65 Diagnostic endoscopic examination of jejunum" "G65" "G65 Diagnostic endoscopic examination of jejunum"
"G651" "G65.1 Diagnostic endoscopic examination of jejunum and biopsy of lesion of jejunum" "G651" "G65.1 Diagnostic endoscopic examination of jejunum and biopsy of lesion of jejunum"
"G658" "G65.8 Other specified diagnostic endoscopic examination of jejunum" "G658" "G65.8 Other specified diagnostic endoscopic examination of jejunum"
"G659" "G65.9 Unspecified diagnostic endoscopic examination of jejunum" "G659" "G65.9 Unspecified diagnostic endoscopic examination of jejunum"
"G67" "G67 Other operations on jejunum" "G67" "G67 Other operations on jejunum"
"G671" "G67.1 Intubation of jejunum for decompression of intestine" "G671" "G67.1 Intubation of jejunum for decompression of intestine"
"G672" "G67.2 Intubation of jejunum for measurement of intestinal function" "G672" "G67.2 Intubation of jejunum for measurement of intestinal function"
"G673" "G67.3 Passage of Crosby capsule into jejunum for biopsy of mucosa of jejunum" "G673" "G67.3 Passage of Crosby capsule into jejunum for biopsy of mucosa of jejunum"
"G674" "G67.4 Intubation of jejunum NEC" "G674" "G67.4 Intubation of jejunum NEC"
"G675" "G67.5 Insertion of nasojejunal tube" "G675" "G67.5 Insertion of nasojejunal tube"
"G678" "G67.8 Other specified other operations on jejunum" "G678" "G67.8 Other specified other operations on jejunum"
"G679" "G67.9 Unspecified other operations on jejunum" "G679" "G67.9 Unspecified other operations on jejunum"
"G68" "G68 Transplantation of ileum" "G68" "G68 Transplantation of ileum"
"G681" "G68.1 Allotransplantation of ileum" "G681" "G68.1 Allotransplantation of ileum"
"G688" "G68.8 Other specified transplantation of ileum" "G688" "G68.8 Other specified transplantation of ileum"
"G689" "G68.9 Unspecified transplantation of ileum" "G689" "G68.9 Unspecified transplantation of ileum"
"G69" "G69 Excision of ileum" "G69" "G69 Excision of ileum"
"G691" "G69.1 Ileectomy and anastomosis of stomach to ileum" "G691" "G69.1 Ileectomy and anastomosis of stomach to ileum"
"G692" "G69.2 Ileectomy and anastomosis of duodenum to ileum" "G692" "G69.2 Ileectomy and anastomosis of duodenum to ileum"
"G693" "G69.3 Ileectomy and anastomosis of ileum to ileum" "G693" "G69.3 Ileectomy and anastomosis of ileum to ileum"
"G694" "G69.4 Ileectomy and anastomosis of ileum to colon" "G694" "G69.4 Ileectomy and anastomosis of ileum to colon"
"G698" "G69.8 Other specified excision of ileum" "G698" "G69.8 Other specified excision of ileum"
"G699" "G69.9 Unspecified excision of ileum" "G699" "G69.9 Unspecified excision of ileum"
"G70" "G70 Open extirpation of lesion of ileum" "G70" "G70 Open extirpation of lesion of ileum"
"G701" "G70.1 Excision of Meckel's diverticulum" "G701" "G70.1 Excision of Meckel's diverticulum"
"G702" "G70.2 Excision of lesion of ileum NEC" "G702" "G70.2 Excision of lesion of ileum NEC"
"G703" "G70.3 Open destruction of lesion of ileum" "G703" "G70.3 Open destruction of lesion of ileum"
"G708" "G70.8 Other specified open extirpation of lesion of ileum" "G708" "G70.8 Other specified open extirpation of lesion of ileum"
"G709" "G70.9 Unspecified open extirpation of lesion of ileum" "G709" "G70.9 Unspecified open extirpation of lesion of ileum"
"G71" "G71 Bypass of ileum" "G71" "G71 Bypass of ileum"
"G711" "G71.1 Bypass of ileum by anastomosis of jejunum to ileum" "G711" "G71.1 Bypass of ileum by anastomosis of jejunum to ileum"
"G712" "G71.2 Bypass of ileum by anastomosis of ileum to ileum" "G712" "G71.2 Bypass of ileum by anastomosis of ileum to ileum"
"G713" "G71.3 Bypass of ileum by anastomosis of ileum to caecum" "G713" "G71.3 Bypass of ileum by anastomosis of ileum to caecum"
"G714" "G71.4 Bypass of ileum by anastomosis of ileum to transverse colon" "G714" "G71.4 Bypass of ileum by anastomosis of ileum to transverse colon"
"G715" "G71.5 Bypass of ileum by anastomosis of ileum to colon NEC" "G715" "G71.5 Bypass of ileum by anastomosis of ileum to colon NEC"
"G716" "G71.6 Duodenal switch" "G716" "G71.6 Duodenal switch"
"G717" "G71.7 Reversal of duodenal switch" "G717" "G71.7 Reversal of duodenal switch"
"G718" "G71.8 Other specified bypass of ileum" "G718" "G71.8 Other specified bypass of ileum"
"G719" "G71.9 Unspecified bypass of ileum" "G719" "G71.9 Unspecified bypass of ileum"
"G72" "G72 Other connection of ileum" "G72" "G72 Other connection of ileum"
"G721" "G72.1 Anastomosis of ileum to caecum" "G721" "G72.1 Anastomosis of ileum to caecum"
"G722" "G72.2 Anastomosis of ileum to transverse colon" "G722" "G72.2 Anastomosis of ileum to transverse colon"
"G723" "G72.3 Anastomosis of ileum to colon NEC" "G723" "G72.3 Anastomosis of ileum to colon NEC"
"G724" "G72.4 Anastomosis of ileum to rectum" "G724" "G72.4 Anastomosis of ileum to rectum"
"G725" "G72.5 Anastomosis of ileum to anus and creation of pouch HFQ" "G725" "G72.5 Anastomosis of ileum to anus and creation of pouch HFQ"
"G728" "G72.8 Other specified other connection of ileum" "G728" "G72.8 Other specified other connection of ileum"
"G729" "G72.9 Unspecified other connection of ileum" "G729" "G72.9 Unspecified other connection of ileum"
"G73" "G73 Attention to connection of ileum" "G73" "G73 Attention to connection of ileum"
"G731" "G73.1 Revision of anastomosis of ileum" "G731" "G73.1 Revision of anastomosis of ileum"
"G732" "G73.2 Closure of anastomosis of ileum" "G732" "G73.2 Closure of anastomosis of ileum"
"G733" "G73.3 Resection of ileostomy" "G733" "G73.3 Resection of ileostomy"
"G734" "G73.4 Resection of ileocolic anastomosis" "G734" "G73.4 Resection of ileocolic anastomosis"
"G738" "G73.8 Other specified attention to connection of ileum" "G738" "G73.8 Other specified attention to connection of ileum"
"G739" "G73.9 Unspecified attention to connection of ileum" "G739" "G73.9 Unspecified attention to connection of ileum"
"G74" "G74 Creation of artificial opening into ileum" "G74" "G74 Creation of artificial opening into ileum"
"G741" "G74.1 Creation of continent ileostomy" "G741" "G74.1 Creation of continent ileostomy"
"G742" "G74.2 Creation of temporary ileostomy" "G742" "G74.2 Creation of temporary ileostomy"
"G743" "G74.3 Creation of defunctioning ileostomy" "G743" "G74.3 Creation of defunctioning ileostomy"
"G748" "G74.8 Other specified creation of artificial opening into ileum" "G748" "G74.8 Other specified creation of artificial opening into ileum"
"G749" "G74.9 Unspecified creation of artificial opening into ileum" "G749" "G74.9 Unspecified creation of artificial opening into ileum"
"G75" "G75 Attention to artificial opening into ileum" "G75" "G75 Attention to artificial opening into ileum"
"G751" "G75.1 Refashioning of ileostomy" "G751" "G75.1 Refashioning of ileostomy"
"G752" "G75.2 Repair of prolapse of ileostomy" "G752" "G75.2 Repair of prolapse of ileostomy"
"G753" "G75.3 Closure of ileostomy" "G753" "G75.3 Closure of ileostomy"
"G754" "G75.4 Dilation of ileostomy" "G754" "G75.4 Dilation of ileostomy"
"G755" "G75.5 Reduction of prolapse of ileostomy" "G755" "G75.5 Reduction of prolapse of ileostomy"
"G756" "G75.6 Resiting of ileostomy" "G756" "G75.6 Resiting of ileostomy"
"G758" "G75.8 Other specified attention to artificial opening into ileum" "G758" "G75.8 Other specified attention to artificial opening into ileum"
"G759" "G75.9 Unspecified attention to artificial opening into ileum" "G759" "G75.9 Unspecified attention to artificial opening into ileum"
"G76" "G76 Intra-abdominal manipulation of ileum" "G76" "G76 Intra-abdominal manipulation of ileum"
"G761" "G76.1 Open reduction of intussusception of ileum" "G761" "G76.1 Open reduction of intussusception of ileum"
"G762" "G76.2 Open relief of strangulation of ileum" "G762" "G76.2 Open relief of strangulation of ileum"
"G763" "G76.3 Open relief of obstruction of ileum NEC" "G763" "G76.3 Open relief of obstruction of ileum NEC"
"G764" "G76.4 Plication of ileum" "G764" "G76.4 Plication of ileum"
"G768" "G76.8 Other specified intra-abdominal manipulation of ileum" "G768" "G76.8 Other specified intra-abdominal manipulation of ileum"
"G769" "G76.9 Unspecified intra-abdominal manipulation of ileum" "G769" "G76.9 Unspecified intra-abdominal manipulation of ileum"
"G78" "G78 Other open operations on ileum" "G78" "G78 Other open operations on ileum"
"G781" "G78.1 Open biopsy of lesion of ileum" "G781" "G78.1 Open biopsy of lesion of ileum"
"G782" "G78.2 Strictureplasty of ileum" "G782" "G78.2 Strictureplasty of ileum"
"G783" "G78.3 Removal of foreign body from ileum" "G783" "G78.3 Removal of foreign body from ileum"
"G784" "G78.4 Closure of perforation of ileum" "G784" "G78.4 Closure of perforation of ileum"
"G785" "G78.5 Exclusion of segment of ileum" "G785" "G78.5 Exclusion of segment of ileum"
"G786" "G78.6 Open intubation of ileum" "G786" "G78.6 Open intubation of ileum"
"G788" "G78.8 Other specified other open operations on ileum" "G788" "G78.8 Other specified other open operations on ileum"
"G789" "G78.9 Unspecified other open operations on ileum" "G789" "G78.9 Unspecified other open operations on ileum"
"G79" "G79 Therapeutic endoscopic operations on ileum" "G79" "G79 Therapeutic endoscopic operations on ileum"
"G791" "G79.1 Endoscopic extirpation of lesion of ileum" "G791" "G79.1 Endoscopic extirpation of lesion of ileum"
"G792" "G79.2 Endoscopic dilation of ileum" "G792" "G79.2 Endoscopic dilation of ileum"
"G793" "G79.3 Endoscopic insertion of tubal prosthesis into ileum" "G793" "G79.3 Endoscopic insertion of tubal prosthesis into ileum"
"G798" "G79.8 Other specified therapeutic endoscopic operations on ileum" "G798" "G79.8 Other specified therapeutic endoscopic operations on ileum"
"G799" "G79.9 Unspecified therapeutic endoscopic operations on ileum" "G799" "G79.9 Unspecified therapeutic endoscopic operations on ileum"
"G80" "G80 Diagnostic endoscopic examination of ileum" "G80" "G80 Diagnostic endoscopic examination of ileum"
"G801" "G80.1 Diagnostic endoscopic examination of ileum and biopsy of lesion of ileum" "G801" "G80.1 Diagnostic endoscopic examination of ileum and biopsy of lesion of ileum"
"G802" "G80.2 Wireless capsule endoscopy" "G802" "G80.2 Wireless capsule endoscopy"
"G803" "G80.3 Diagnostic endoscopic balloon examination of ileum" "G803" "G80.3 Diagnostic endoscopic balloon examination of ileum"
"G808" "G80.8 Other specified diagnostic endoscopic examination of ileum" "G808" "G80.8 Other specified diagnostic endoscopic examination of ileum"
"G809" "G80.9 Unspecified diagnostic endoscopic examination of ileum" "G809" "G80.9 Unspecified diagnostic endoscopic examination of ileum"
"G82" "G82 Other operations on ileum" "G82" "G82 Other operations on ileum"
"G821" "G82.1 Radiological reduction of intussusception of ileum using barium enema" "G821" "G82.1 Radiological reduction of intussusception of ileum using barium enema"
"G822" "G82.2 Intubation of ileum for decompression of intestine" "G822" "G82.2 Intubation of ileum for decompression of intestine"
"G823" "G82.3 Intubation of ileum for studies on function HFQ" "G823" "G82.3 Intubation of ileum for studies on function HFQ"
"G824" "G82.4 Intubation of ileum NEC" "G824" "G82.4 Intubation of ileum NEC"
"G825" "G82.5 Radiological reduction of intussusception of ileum using air enema" "G825" "G82.5 Radiological reduction of intussusception of ileum using air enema"
"G828" "G82.8 Other specified other operations on ileum" "G828" "G82.8 Other specified other operations on ileum"
"G829" "G82.9 Unspecified other operations on ileum" "G829" "G82.9 Unspecified other operations on ileum"
"H01" "H01 Emergency excision of appendix" "H01" "H01 Emergency excision of appendix"
"H011" "H01.1 Emergency excision of abnormal appendix and drainage HFQ" "H011" "H01.1 Emergency excision of abnormal appendix and drainage HFQ"
"H012" "H01.2 Emergency excision of abnormal appendix NEC" "H012" "H01.2 Emergency excision of abnormal appendix NEC"
"H013" "H01.3 Emergency excision of normal appendix" "H013" "H01.3 Emergency excision of normal appendix"
"H018" "H01.8 Other specified emergency excision of appendix" "H018" "H01.8 Other specified emergency excision of appendix"
"H019" "H01.9 Unspecified emergency excision of appendix" "H019" "H01.9 Unspecified emergency excision of appendix"
"H02" "H02 Other excision of appendix" "H02" "H02 Other excision of appendix"
"H021" "H02.1 Interval appendicectomy" "H021" "H02.1 Interval appendicectomy"
"H022" "H02.2 Planned delayed appendicectomy NEC" "H022" "H02.2 Planned delayed appendicectomy NEC"
"H023" "H02.3 Prophylactic appendicectomy NEC" "H023" "H02.3 Prophylactic appendicectomy NEC"
"H024" "H02.4 Incidental appendicectomy" "H024" "H02.4 Incidental appendicectomy"
"H028" "H02.8 Other specified other excision of appendix" "H028" "H02.8 Other specified other excision of appendix"
"H029" "H02.9 Unspecified other excision of appendix" "H029" "H02.9 Unspecified other excision of appendix"
"H03" "H03 Other operations on appendix" "H03" "H03 Other operations on appendix"
"H031" "H03.1 Drainage of abscess of appendix" "H031" "H03.1 Drainage of abscess of appendix"
"H032" "H03.2 Drainage of appendix NEC" "H032" "H03.2 Drainage of appendix NEC"
"H033" "H03.3 Exteriorisation of appendix" "H033" "H03.3 Exteriorisation of appendix"
"H038" "H03.8 Other specified other operations on appendix" "H038" "H03.8 Other specified other operations on appendix"
"H039" "H03.9 Unspecified other operations on appendix" "H039" "H03.9 Unspecified other operations on appendix"
"H04" "H04 Total excision of colon and rectum" "H04" "H04 Total excision of colon and rectum"
"H041" "H04.1 Panproctocolectomy and ileostomy" "H041" "H04.1 Panproctocolectomy and ileostomy"
"H042" "H04.2 Panproctocolectomy and anastomosis of ileum to anus and creation of pouch HFQ" "H042" "H04.2 Panproctocolectomy and anastomosis of ileum to anus and creation of pouch HFQ"
"H043" "H04.3 Panproctocolectomy and anastomosis of ileum to anus NEC" "H043" "H04.3 Panproctocolectomy and anastomosis of ileum to anus NEC"
"H048" "H04.8 Other specified total excision of colon and rectum" "H048" "H04.8 Other specified total excision of colon and rectum"
"H049" "H04.9 Unspecified total excision of colon and rectum" "H049" "H04.9 Unspecified total excision of colon and rectum"
"H05" "H05 Total excision of colon" "H05" "H05 Total excision of colon"
"H051" "H05.1 Total colectomy and anastomosis of ileum to rectum" "H051" "H05.1 Total colectomy and anastomosis of ileum to rectum"
"H052" "H05.2 Total colectomy and ileostomy and creation of rectal fistula HFQ" "H052" "H05.2 Total colectomy and ileostomy and creation of rectal fistula HFQ"
"H053" "H05.3 Total colectomy and ileostomy NEC" "H053" "H05.3 Total colectomy and ileostomy NEC"
"H058" "H05.8 Other specified total excision of colon" "H058" "H05.8 Other specified total excision of colon"
"H059" "H05.9 Unspecified total excision of colon" "H059" "H05.9 Unspecified total excision of colon"
"H06" "H06 Extended excision of right hemicolon" "H06" "H06 Extended excision of right hemicolon"
"H061" "H06.1 Extended right hemicolectomy and end to end anastomosis" "H061" "H06.1 Extended right hemicolectomy and end to end anastomosis"
"H062" "H06.2 Extended right hemicolectomy and anastomosis of ileum to colon" "H062" "H06.2 Extended right hemicolectomy and anastomosis of ileum to colon"
"H063" "H06.3 Extended right hemicolectomy and anastomosis NEC" "H063" "H06.3 Extended right hemicolectomy and anastomosis NEC"
"H064" "H06.4 Extended right hemicolectomy and ileostomy HFQ" "H064" "H06.4 Extended right hemicolectomy and ileostomy HFQ"
"H065" "H06.5 Extended right hemicolectomy and end to side anastomosis" "H065" "H06.5 Extended right hemicolectomy and end to side anastomosis"
"H068" "H06.8 Other specified extended excision of right hemicolon" "H068" "H06.8 Other specified extended excision of right hemicolon"
"H069" "H06.9 Unspecified extended excision of right hemicolon" "H069" "H06.9 Unspecified extended excision of right hemicolon"
"H07" "H07 Other excision of right hemicolon" "H07" "H07 Other excision of right hemicolon"
"H071" "H07.1 Right hemicolectomy and end to end anastomosis of ileum to colon" "H071" "H07.1 Right hemicolectomy and end to end anastomosis of ileum to colon"
"H072" "H07.2 Right hemicolectomy and side to side anastomosis of ileum to transverse colon" "H072" "H07.2 Right hemicolectomy and side to side anastomosis of ileum to transverse colon"
"H073" "H07.3 Right hemicolectomy and anastomosis NEC" "H073" "H07.3 Right hemicolectomy and anastomosis NEC"
"H074" "H07.4 Right hemicolectomy and ileostomy HFQ" "H074" "H07.4 Right hemicolectomy and ileostomy HFQ"
"H075" "H07.5 Right hemicolectomy and end to side anastomosis" "H075" "H07.5 Right hemicolectomy and end to side anastomosis"
"H078" "H07.8 Other specified other excision of right hemicolon" "H078" "H07.8 Other specified other excision of right hemicolon"
"H079" "H07.9 Unspecified other excision of right hemicolon" "H079" "H07.9 Unspecified other excision of right hemicolon"
"H08" "H08 Excision of transverse colon" "H08" "H08 Excision of transverse colon"
"H081" "H08.1 Transverse colectomy and end to end anastomosis" "H081" "H08.1 Transverse colectomy and end to end anastomosis"
"H082" "H08.2 Transverse colectomy and anastomosis of ileum to colon" "H082" "H08.2 Transverse colectomy and anastomosis of ileum to colon"
"H083" "H08.3 Transverse colectomy and anastomosis NEC" "H083" "H08.3 Transverse colectomy and anastomosis NEC"
"H084" "H08.4 Transverse colectomy and ileostomy HFQ" "H084" "H08.4 Transverse colectomy and ileostomy HFQ"
"H085" "H08.5 Transverse colectomy and exteriorisation of bowel NEC" "H085" "H08.5 Transverse colectomy and exteriorisation of bowel NEC"
"H086" "H08.6 Transverse colectomy and end to side anastomosis" "H086" "H08.6 Transverse colectomy and end to side anastomosis"
"H088" "H08.8 Other specified excision of transverse colon" "H088" "H08.8 Other specified excision of transverse colon"
"H089" "H08.9 Unspecified excision of transverse colon" "H089" "H08.9 Unspecified excision of transverse colon"
"H09" "H09 Excision of left hemicolon" "H09" "H09 Excision of left hemicolon"
"H091" "H09.1 Left hemicolectomy and end to end anastomosis of colon to rectum" "H091" "H09.1 Left hemicolectomy and end to end anastomosis of colon to rectum"
"H092" "H09.2 Left hemicolectomy and end to end anastomosis of colon to colon" "H092" "H09.2 Left hemicolectomy and end to end anastomosis of colon to colon"
"H093" "H09.3 Left hemicolectomy and anastomosis NEC" "H093" "H09.3 Left hemicolectomy and anastomosis NEC"
"H094" "H09.4 Left hemicolectomy and ileostomy HFQ" "H094" "H09.4 Left hemicolectomy and ileostomy HFQ"
"H095" "H09.5 Left hemicolectomy and exteriorisation of bowel NEC" "H095" "H09.5 Left hemicolectomy and exteriorisation of bowel NEC"
"H096" "H09.6 Left hemicolectomy and end to side anastomosis" "H096" "H09.6 Left hemicolectomy and end to side anastomosis"
"H098" "H09.8 Other specified excision of left hemicolon" "H098" "H09.8 Other specified excision of left hemicolon"
"H099" "H09.9 Unspecified excision of left hemicolon" "H099" "H09.9 Unspecified excision of left hemicolon"
"H10" "H10 Excision of sigmoid colon" "H10" "H10 Excision of sigmoid colon"
"H101" "H10.1 Sigmoid colectomy and end to end anastomosis of ileum to rectum" "H101" "H10.1 Sigmoid colectomy and end to end anastomosis of ileum to rectum"
"H102" "H10.2 Sigmoid colectomy and anastomosis of colon to rectum" "H102" "H10.2 Sigmoid colectomy and anastomosis of colon to rectum"
"H103" "H10.3 Sigmoid colectomy and anastomosis NEC" "H103" "H10.3 Sigmoid colectomy and anastomosis NEC"
"H104" "H10.4 Sigmoid colectomy and ileostomy HFQ" "H104" "H10.4 Sigmoid colectomy and ileostomy HFQ"
"H105" "H10.5 Sigmoid colectomy and exteriorisation of bowel NEC" "H105" "H10.5 Sigmoid colectomy and exteriorisation of bowel NEC"
"H106" "H10.6 Sigmoid colectomy and end to side anastomosis" "H106" "H10.6 Sigmoid colectomy and end to side anastomosis"
"H108" "H10.8 Other specified excision of sigmoid colon" "H108" "H10.8 Other specified excision of sigmoid colon"
"H109" "H10.9 Unspecified excision of sigmoid colon" "H109" "H10.9 Unspecified excision of sigmoid colon"
"H11" "H11 Other excision of colon" "H11" "H11 Other excision of colon"
"H111" "H11.1 Colectomy and end to end anastomosis of colon to colon NEC" "H111" "H11.1 Colectomy and end to end anastomosis of colon to colon NEC"
"H112" "H11.2 Colectomy and side to side anastomosis of ileum to colon NEC" "H112" "H11.2 Colectomy and side to side anastomosis of ileum to colon NEC"
"H113" "H11.3 Colectomy and anastomosis NEC" "H113" "H11.3 Colectomy and anastomosis NEC"
"H114" "H11.4 Colectomy and ileostomy NEC" "H114" "H11.4 Colectomy and ileostomy NEC"
"H115" "H11.5 Colectomy and exteriorisation of bowel NEC" "H115" "H11.5 Colectomy and exteriorisation of bowel NEC"
"H116" "H11.6 Colectomy and end to side anastomosis NEC" "H116" "H11.6 Colectomy and end to side anastomosis NEC"
"H118" "H11.8 Other specified other excision of colon" "H118" "H11.8 Other specified other excision of colon"
"H119" "H11.9 Unspecified other excision of colon" "H119" "H11.9 Unspecified other excision of colon"
"H12" "H12 Extirpation of lesion of colon" "H12" "H12 Extirpation of lesion of colon"
"H121" "H12.1 Excision of diverticulum of colon" "H121" "H12.1 Excision of diverticulum of colon"
"H122" "H12.2 Excision of lesion of colon NEC" "H122" "H12.2 Excision of lesion of colon NEC"
"H123" "H12.3 Destruction of lesion of colon NEC" "H123" "H12.3 Destruction of lesion of colon NEC"
"H128" "H12.8 Other specified extirpation of lesion of colon" "H128" "H12.8 Other specified extirpation of lesion of colon"
"H129" "H12.9 Unspecified extirpation of lesion of colon" "H129" "H12.9 Unspecified extirpation of lesion of colon"
"H13" "H13 Bypass of colon" "H13" "H13 Bypass of colon"
"H131" "H13.1 Bypass of colon by anastomosis of ileum to colon" "H131" "H13.1 Bypass of colon by anastomosis of ileum to colon"
"H132" "H13.2 Bypass of colon by anastomosis of caecum to sigmoid colon" "H132" "H13.2 Bypass of colon by anastomosis of caecum to sigmoid colon"
"H133" "H13.3 Bypass of colon by anastomosis of transverse colon to sigmoid colon" "H133" "H13.3 Bypass of colon by anastomosis of transverse colon to sigmoid colon"
"H134" "H13.4 Bypass of colon by anastomosis of transverse colon to rectum" "H134" "H13.4 Bypass of colon by anastomosis of transverse colon to rectum"
"H135" "H13.5 Bypass of colon by anastomosis of colon to rectum NEC" "H135" "H13.5 Bypass of colon by anastomosis of colon to rectum NEC"
"H138" "H13.8 Other specified bypass of colon" "H138" "H13.8 Other specified bypass of colon"
"H139" "H13.9 Unspecified bypass of colon" "H139" "H13.9 Unspecified bypass of colon"
"H14" "H14 Exteriorisation of caecum" "H14" "H14 Exteriorisation of caecum"
"H141" "H14.1 Tube caecostomy" "H141" "H14.1 Tube caecostomy"
"H142" "H14.2 Refashioning of caecostomy" "H142" "H14.2 Refashioning of caecostomy"
"H143" "H14.3 Closure of caecostomy" "H143" "H14.3 Closure of caecostomy"
"H144" "H14.4 Appendicocaecostomy" "H144" "H14.4 Appendicocaecostomy"
"H148" "H14.8 Other specified exteriorisation of caecum" "H148" "H14.8 Other specified exteriorisation of caecum"
"H149" "H14.9 Unspecified exteriorisation of caecum" "H149" "H14.9 Unspecified exteriorisation of caecum"
