"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"-1" "bacterial infection" "-1" "bacterial infection"
"-1" "bowel problem" "-1" "bowel problem"
"-1" "cardiovascular" "-1" "cardiovascular"
"-1" "cerebrovascular disease" "-1" "cerebrovascular disease"
"-1" "dermatology" "-1" "dermatology"
"-1" "endocrine/diabetes" "-1" "endocrine/diabetes"
"-1" "ent disorder/not cancer" "-1" "ent disorder/not cancer"
"-1" "fracture" "-1" "fracture"
"-1" "fracture head & neck" "-1" "fracture head & neck"
"-1" "fracture pelvis & lower limb" "-1" "fracture pelvis & lower limb"
"-1" "fracture upper limb & shoulder" "-1" "fracture upper limb & shoulder"
"-1" "gastrointestinal/abdominal" "-1" "gastrointestinal/abdominal"
"-1" "gynaecology/breast" "-1" "gynaecology/breast"
"-1" "haematology" "-1" "haematology"
"-1" "haematology/dermatology" "-1" "haematology/dermatology"
"-1" "immunological/systemic disorders" "-1" "immunological/systemic disorders"
"-1" "infections" "-1" "infections"
"-1" "musculoskeletal/trauma" "-1" "musculoskeletal/trauma"
"-1" "neurology" "-1" "neurology"
"-1" "neurology/eye/psychiatry" "-1" "neurology/eye/psychiatry"
"-1" "obstetric problem" "-1" "obstetric problem"
"-1" "other fractures" "-1" "other fractures"
"-1" "other urological problem (male)" "-1" "other urological problem (male)"
"-1" "renal/urology" "-1" "renal/urology"
"-1" "respiratory/ent" "-1" "respiratory/ent"
"-1" "substance abuse/dependency" "-1" "substance abuse/dependency"
"-1" "tropical & travel-related infections" "-1" "tropical & travel-related infections"
"-1" "viral infection" "-1" "viral infection"
"1065" "hypertension" "1065" "hypertension"
"1066" "heart/cardiac problem" "1066" "heart/cardiac problem"
"1067" "peripheral vascular disease" "1067" "peripheral vascular disease"
"1068" "venous thromboembolic disease" "1068" "venous thromboembolic disease"
"1072" "essential hypertension" "1072" "essential hypertension"
"1073" "gestational hypertension/pre-eclampsia" "1073" "gestational hypertension/pre-eclampsia"
"1074" "angina" "1074" "angina"
"1075" "heart attack/myocardial infarction" "1075" "heart attack/myocardial infarction"
"1076" "heart failure/pulmonary odema" "1076" "heart failure/pulmonary odema"
"1077" "heart arrhythmia" "1077" "heart arrhythmia"
"1078" "heart valve problem/heart murmur" "1078" "heart valve problem/heart murmur"
"1079" "cardiomyopathy" "1079" "cardiomyopathy"
"1080" "pericardial problem" "1080" "pericardial problem"
"1081" "stroke" "1081" "stroke"
"1082" "transient ischaemic attack (tia)" "1082" "transient ischaemic attack (tia)"
"1083" "subdural haemorrhage/haematoma" "1083" "subdural haemorrhage/haematoma"
"1086" "subarachnoid haemorrhage" "1086" "subarachnoid haemorrhage"
"1087" "leg claudication/ intermittent claudication" "1087" "leg claudication/ intermittent claudication"
"1088" "arterial embolism" "1088" "arterial embolism"
"1093" "pulmonary embolism +/- dvt" "1093" "pulmonary embolism +/- dvt"
"1094" "deep venous thrombosis (dvt)" "1094" "deep venous thrombosis (dvt)"
"1111" "asthma" "1111" "asthma"
"1112" "chronic obstructive airways disease/copd" "1112" "chronic obstructive airways disease/copd"
"1113" "emphysema/chronic bronchitis" "1113" "emphysema/chronic bronchitis"
"1114" "bronchiectasis" "1114" "bronchiectasis"
"1115" "interstitial lung disease" "1115" "interstitial lung disease"
"1117" "other respiratory problems" "1117" "other respiratory problems"
"1120" "asbestosis" "1120" "asbestosis"
"1121" "pulmonary fibrosis" "1121" "pulmonary fibrosis"
"1122" "fibrosing alveolitis/unspecified alveolitis" "1122" "fibrosing alveolitis/unspecified alveolitis"
"1123" "sleep apnoea" "1123" "sleep apnoea"
"1124" "respiratory failure" "1124" "respiratory failure"
"1125" "pleurisy" "1125" "pleurisy"
"1126" "spontaneous pneumothorax/recurrent pneumothorax" "1126" "spontaneous pneumothorax/recurrent pneumothorax"
"1134" "oesophageal disorder" "1134" "oesophageal disorder"
"1135" "stomach disorder" "1135" "stomach disorder"
"1136" "liver/biliary/pancreas problem" "1136" "liver/biliary/pancreas problem"
"1137" "other abdominal problem" "1137" "other abdominal problem"
"1138" "gastro-oesophageal reflux (gord) / gastric reflux" "1138" "gastro-oesophageal reflux (gord) / gastric reflux"
"1139" "oesophagitis/barretts oesophagus" "1139" "oesophagitis/barretts oesophagus"
"1140" "oesophageal stricture" "1140" "oesophageal stricture"
"1141" "oesophageal varicies" "1141" "oesophageal varicies"
"1142" "gastric/stomach ulcers" "1142" "gastric/stomach ulcers"
"1143" "gastritis/gastric erosions" "1143" "gastritis/gastric erosions"
"1154" "irritable bowel syndrome" "1154" "irritable bowel syndrome"
"1155" "hepatitis" "1155" "hepatitis"
"1156" "infective/viral hepatitis" "1156" "infective/viral hepatitis"
"1157" "non-infective hepatitis" "1157" "non-infective hepatitis"
"1158" "liver failure/cirrhosis" "1158" "liver failure/cirrhosis"
"1159" "bile duct disease" "1159" "bile duct disease"
"1160" "bile duct obstruction/ascending cholangitis" "1160" "bile duct obstruction/ascending cholangitis"
"1161" "gall bladder disease" "1161" "gall bladder disease"
"1162" "cholelithiasis/gall stones" "1162" "cholelithiasis/gall stones"
