"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"-3" "Prefer not to answer" "-3" "Prefer not to answer"
"-7" "None of the above" "-7" "None of the above"
"1" "Mouth ulcers" "1" "Mouth ulcers"
"2" "Painful gums" "2" "Painful gums"
"3" "Bleeding gums" "3" "Bleeding gums"
"4" "Loose teeth" "4" "Loose teeth"
"5" "Toothache" "5" "Toothache"
"6" "Dentures" "6" "Dentures"
